Total Sheets: 44

--- SHEET: 5020 -2 HOJAS (Path: xl/worksheets/sheet1.xml) ---
Row 1:                 |                 |                 |                 |                 |                 |                 |                
Row 2:  VENTANERIA 5020  DOS HOJAS |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |                 |             100 |     CENTIMETROS |                 |                 |                
Row 14:                 |     HORIZONTAL  |        ALNA-349 |           58.95 |                 |                 |               8 |              90
Row 15:        VIDRIOS  |          4 m.m. |                 |          ALTURA |          ANCHO  |                 |                 |                

--- SHEET: 744 - 2 HOJAS (Path: xl/worksheets/sheet4.xml) ---
Row 1:             [ ] |                 |                 |                 |                 |                 |                 |                
Row 2:             [ ] |  PUERTA 744 DE DOS HOJAS  |                 |                 |                 |                 |                 |                
Row 3:             [ ] |          ALTURA |                 |                 |            85.2 |                 |     CENTIMETROS |                
Row 4:             [ ] |           ANCHO |                 |                 |           100.7 |                 |     CENTIMETROS |                
Row 5:             [ ] |        CANTIDAD |                 |                 |               1 |                 |                 |                
Row 6:             [ ] |    REF.ALUMINIO |                 |                 |                 |                 |                 |                
Row 7:             [ ] |     REF. VIDRIO |                 |                 |                 |                 |                 |                
Row 8:             [ ] |     DESCRICCION |                 |            REF. | MEDIDAS EN CENTIMETROS |                 |                 |       CANT UND.
Row 9:             [ ] |           MARCO |         CABEZAL |         ALN-392 |           100.7 |                 |                 |               1
Row 10:             [ ] |                 |          SILLAR |         ALN-387 |           100.7 |                 |                 |               1
Row 11:             [ ] |                 |           JAMBA |         ALN-393 | 84.100000000000009 |                 |                 |               2
Row 12:             [ ] |          HOJAS  |    ENGANCHE 744 |         ALN-391 |            82.7 |                 |                 |               2
Row 13:             [ ] |                 |    TRASLAPE 744 |         ALN-388 |            82.7 |                 |                 |               2
Row 14:             [ ] |                 | HORIZONTAL SUP. |         ALN-389 | 50.050000000000004 |                 |                 |               2
Row 15:             [ ] |                 | HORIZONTAL INF. |        ALNA-390 | 50.050000000000004 |                 |                 |               2

--- SHEET: 744 3 HOJAS 1 DE PARCHE (Path: xl/worksheets/sheet5.xml) ---
Row 1:                 |                 |                 |                 |                 |                 |                 |                
Row 2:  PUERTA CORREDISA 744 DE 3 HOJAS 1 DE PARCHE |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |                 |             160 |     CENTIMETROS |                 |                 |                
Row 4:           ANCHO |                 |                 |             240 |     CENTIMETROS |                 |                 |                
Row 5:        CANTIDAD |                 |                 |               1 |                 |                 |                 |                
Row 6:    REF.ALUMINIO |                 |                 |                 |                 |                 |                 |                
Row 7:     REF. VIDRIO |                 |                 |                 |                 |                 |                 |                
Row 8:     DESCRICCION |                 |            REF. | MEDIDAS EN CENTIMETROS |                 |                 |       CANT UND. |   ANGULO GRADOS
Row 9:           MARCO |         CABEZAL |         ALN-392 |             240 |                 |                 |               1 |              90
Row 10:                 |          SILLAR |         ALN-387 |             240 |                 |                 |               1 |              90
Row 11:                 |           JAMBA |         ALN-393 |           158.9 |                 |                 |               2 |              90
Row 12:       HOJA FIJA |    ENGANCHE 744 |         ALN-391 | 159.69999999999999 |                 |                 |               1 |              90
Row 13:                 |    TRASLAPE 744 |         ALN-388 | 159.69999999999999 |                 |                 |               1 |              90
Row 14:                 | HORIZONTAL SUP. |         ALN-389 |              81 |                 |                 |               1 |              90
Row 15:                 | HORIZONTAL INF. |        ALNA-390 |              81 |                 |                 |               1 |              90

--- SHEET:  744 3 HOJAS  (diseño cliente) (Path: xl/worksheets/sheet6.xml) ---
Row 1:                 |                 |                 |                 |                 |                 |                 |                
Row 2:  PUERTA CORREDISA 744 DE 3 HOJAS (diseño cliente) |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |                 |           202.5 |     CENTIMETROS |                 |                 |                
Row 4:           ANCHO |                 |                 |             150 |     CENTIMETROS |                 |                 |                
Row 5:        CANTIDAD |                 |                 |               1 |                 |                 |                 |                
Row 6:    REF.ALUMINIO |                 |                 |                 |                 |                 |                 |                
Row 7:     REF. VIDRIO |                 |                 |                 |                 |                 |                 |                
Row 8:     DESCRICCION |                 |            REF. | MEDIDAS EN CENTIMETROS |                 |                 |       CANT UND. |   ANGULO GRADOS
Row 9:           MARCO |         CABEZAL |         ALN-392 |             150 |                 |                 |               1 |              90
Row 10:                 |          SILLAR |         ALN-387 |             150 |                 |                 |               1 |              90
Row 11:                 |           JAMBA |         ALN-393 |           201.4 |                 |                 |               2 |              90
Row 12: HOJA FIJA (enganche - traslape) |    ENGANCHE 744 |         ALN-391 |             200 |                 |                 |               1 |              90
Row 13:                 |    TRASLAPE 744 |         ALN-388 |             200 |                 |                 |               1 |              90
Row 14:                 | HORIZONTAL SUP. |         ALN-389 |              50 |                 |                 |               1 |              90
Row 15:                 | HORIZONTAL INF. |        ALNA-390 |              50 |                 |                 |               1 |              90

--- SHEET: 744 3 HOJAS xOx ( x25%, O50%, x (Path: xl/worksheets/sheet7.xml) ---
Row 1:                 |                 |                 |                 |                 |                 |                 |                
Row 2:  PUERTA CORREDISA 744 DE 3 HOJAS  (corredera 25%, fijo 50%, y corredera 25%) |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |                 |             130 |     CENTIMETROS |                 |                 |                
Row 4:           ANCHO |                 |                 |             384 |     CENTIMETROS |                 |                 |                
Row 5:        CANTIDAD |                 |                 |               1 |                 |                 |                 |                
Row 6:    REF.ALUMINIO |                 |                 |                 |                 |                 |                 |                
Row 7:     REF. VIDRIO |                 |                 |                 |                 |                 |                 |                
Row 8:     DESCRICCION |                 |            REF. | MEDIDAS EN CENTIMETROS |                 |                 |       CANT UND. |   ANGULO GRADOS
Row 9:           MARCO |         CABEZAL |         ALN-392 |             384 |                 |                 |               1 |              90
Row 10:                 |          SILLAR |         ALN-387 |             384 |                 |                 |               1 |              90
Row 11:                 |           JAMBA |         ALN-393 |           128.5 |                 |                 |               2 |              90
Row 12:       HOJA FIJA |    ENGANCHE 744 |         ALN-391 |           127.5 |                 |                 |               2 |              90
Row 13:                 |                 |                 |                 |                 |                 |                 |                
Row 14:                 | HORIZONTAL SUP. |         ALN-389 |             196 |                 |                 |               1 |              90
Row 15:                 | HORIZONTAL INF. |        ALNA-390 |             196 |                 |                 |               1 |              90

--- SHEET: 744 - 4 HOJAS (Path: xl/worksheets/sheet8.xml) ---
Row 1:                 |                 |                 |                 |                 |                 |                 |                
Row 2: PUERTA CORREDISA 744 DE CUATRO HOJAS  |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |                 |           235.8 |    CENTIMETROS  |                 |                 |                
Row 4:           ANCHO |                 |                 |           313.2 |    CENTIMETROS  |                 |                 |                
Row 5:        CANTIDAD |                 |                 |               1 |                 |                 |                 |                
Row 6:    REF.ALUMINIO |                 |                 |                 |                 |                 |                 |                
Row 7:     REF. VIDRIO |                 |                 |                 |                 |                 |                 |                
Row 8:     DESCRICCION |                 |            REF. | MEDIDAS EN CENTIMETROS |                 |                 |            CANT |    ANGULO CORTE
Row 9:           MARCO |         CABEZAL |         ALN-392 |           313.2 |                 |                 |               1 |              90
Row 10:                 |          SILLAR |         ALN-387 |           313.2 |                 |                 |               1 |              90
Row 11:                 |           JAMBA |         ALN-393 | 234.70000000000002 |                 |                 |               2 |              90
Row 12:           HOJAS |    ENGANCHE 744 |         ALN-391 |           233.3 |                 |                 |               4 |              90
Row 13:                 |    TRASLAPE 744 |         ALN-388 |           233.3 |                 |                 |               4 |              90
Row 14:                 |    ADCTADOR 744 |         ALN-403 |           233.3 |                 |                 |               1 |              90
Row 15:                 | HORIZONTAL SUP. |         ALN-389 |           78.55 |                 |                 |               4 |              90

--- SHEET: 8025 de  2 hojas (Path: xl/worksheets/sheet9.xml) ---
Row 1:                 |                 |                 |                 |                 |                 |                 |                
Row 2:  PUERTA CORREDERA 8025 DE DOS HOJAS  |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |                 |             200 |                 |     CENTIMETROS |                 |                
Row 4:           ANCHO |                 |                 |             200 |                 |     CENTIMETROS |                 |                
Row 5:        CANTIDAD |                 |                 |               1 |                 |                 |                 |                
Row 6:    REF.ALUMINIO |                 |                 |                 |                 |                 |                 |                
Row 7:     REF. VIDRIO |                 |                 |                 |                 |                 |                 |                
Row 8:     DESCRICCION |                 |            REF. | MEDIDAS EN CENTIMETROS |                 |                 |       CANT UND. |    ANGULO CORTE
Row 9:           MARCO |         CABEZAL |         ALN-392 |             200 |                 |                 |               1 |              90
Row 10:                 |          SILLAR |         ALN-387 |             200 |                 |                 |               1 |              90
Row 11:                 |           JAMBA |         ALN-393 |             199 |                 |                 |               2 |              90
Row 12:          HOJAS  |   ENGANCHE 8025 |         ALN-391 |           197.7 |                 |                 |               2 |              90
Row 13:                 |   TRASLAPE 8025 |         ALN-388 |           197.7 |                 |                 |               2 |              90
Row 14:                 | HORIZONTAL SUP. |         ALN-389 |           99.75 |                 |                 |               2 |              90
Row 15:                 | HORIZONTAL INF. |        ALNA-390 |           99.75 |                 |                 |               2 |              90

--- SHEET: 8025 de 3 hojas OXO (Path: xl/worksheets/sheet10.xml) ---
Row 1:                 |                 |                 |                 |                 |                 |                 |                
Row 2:  PUERTA CORREDERA 8025 DE TRES HOJAS OXO |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |                 |             300 |     CENTIMETROS |                 |                 |                
Row 4:           ANCHO |                 |                 | 291.39999999999998 |     CENTIMETROS |                 |                 |                
Row 5:        CANTIDAD |                 |                 |               1 |                 |                 |                 |                
Row 6:    REF.ALUMINIO |                 |                 |                 |                 |                 |                 |                
Row 7:     REF. VIDRIO |                 |                 |                 |                 |                 |                 |                
Row 8:     DESCRICCION |                 |            REF. | MEDIDAS EN CENTIMETROS |                 |                 |       CANT UND. |   ANGULO GRADOS
Row 9:           MARCO |         CABEZAL |         ALN-392 | 291.39999999999998 |                 |                 |               1 |              90
Row 10:                 |          SILLAR |         ALN-387 | 291.39999999999998 |                 |                 |               1 |              90
Row 11:                 |           JAMBA |         ALN-393 |           298.8 |                 |                 |               2 |              90
Row 12:       HOJA FIJA |   ENGANCHE 8025 |         ALN-391 |           297.3 |                 |                 |               1 |              90
Row 13:                 |   TRASLAPE 8025 |         ALN-388 |           297.3 |                 |                 |               1 |              90
Row 14:                 | HORIZONTAL SUP. |         ALN-389 | 97.899999999999991 |                 |                 |               1 |              90
Row 15:                 | HORIZONTAL INF. |        ALNA-390 | 97.899999999999991 |                 |                 |               1 |              90

--- SHEET:  8025  3 hojas oXo (Path: xl/worksheets/sheet11.xml) ---
Row 1:                 |                 |                 |                 |                 |                 |                 |                
Row 2: 8025 DE TRES HOJAS oXo |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |                 |             200 |     CENTIMETROS |                 |                 |                
Row 4:           ANCHO |                 |                 |             200 |     CENTIMETROS |                 |                 |                
Row 5:        CANTIDAD |                 |                 |               1 |                 |                 |                 |                
Row 6:    REF.ALUMINIO |                 |                 |                 |                 |                 |                 |                
Row 7:     REF. VIDRIO |                 |                 |                 |                 |                 |                 |                
Row 8:     DESCRICCION |                 |            REF. | MEDIDAS EN CENTIMETROS |                 |                 |       CANT UND. |   ANGULO GRADOS
Row 9:           MARCO |         CABEZAL |         ALN-392 |             200 |                 |                 |               1 |              90
Row 10:                 |          SILLAR |         ALN-387 |             200 |                 |                 |               1 |              90
Row 11:                 |           JAMBA |         ALN-393 |           198.8 |                 |                 |               2 |              90
Row 12:       HOJA FIJA |   ENGANCHE 8025 |         ALN-391 |           197.3 |                 |                 |               1 |              90
Row 13:                 |   TRASLAPE 8025 |         ALN-388 |           197.3 |                 |                 |               1 |              90
Row 14:                 | HORIZONTAL SUP. |         ALN-389 |             100 |                 |                 |               1 |              90
Row 15:                 | HORIZONTAL INF. |        ALNA-390 |             100 |                 |                 |               1 |              90

--- SHEET: 8025 4 hojas (Path: xl/worksheets/sheet12.xml) ---
Row 1:                 |                 |                 |                 |                 |                 |                 |                
Row 2: PUERTA CORREDERA 8025 DE CUATRO HOJAS  |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |                 |             200 |    CENTIMETROS  |                 |                 |                
Row 4:           ANCHO |                 |                 |           313.2 |    CENTIMETROS  |                 |                 |                
Row 5:        CANTIDAD |                 |                 |               1 |                 |                 |                 |                
Row 6:    REF.ALUMINIO |                 |                 |                 |                 |                 |                 |                
Row 7:     REF. VIDRIO |                 |                 |                 |                 |                 |                 |                
Row 8:     DESCRICCION |                 |            REF. | MEDIDAS EN CENTIMETROS |                 |                 |            CANT |    ANGULO CORTE
Row 9:           MARCO |         CABEZAL |         ALN-392 |           313.2 |                 |                 |               1 |              90
Row 10:                 |          SILLAR |         ALN-387 |           313.2 |                 |                 |               1 |              90
Row 11:                 |           JAMBA |         ALN-393 |             199 |                 |                 |               2 |              90
Row 12:           HOJAS |   ENGANCHE 8025 |         ALN-391 |             198 |                 |                 |               4 |              90
Row 13:                 |   TRASLAPE 8025 |         ALN-388 |             198 |                 |                 |               4 |              90
Row 14:                 |   ADCTADOR 8025 |         ALN-403 |             198 |                 |                 |               1 |              90
Row 15:                 | HORIZONTAL SUP. |         ALN-389 |          78.625 |                 |                 |               4 |              90

--- SHEET:  8025 3 hojas diseño cliente OX (Path: xl/worksheets/sheet13.xml) ---
Row 1:                 |                 |                 |                 |                 |                 |                 |                
Row 2:  CORREDERA 8025 3 HOJAS (diseño cliente) |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |                 |             200 |    CENTIMETROS  |                 |                 |                
Row 4:           ANCHO |                 |                 |             300 |    CENTIMETROS  |                 |                 |                
Row 5:        CANTIDAD |                 |                 |               1 |                 |                 |                 |                
Row 6:    REF.ALUMINIO |                 |                 |                 |                 |                 |                 |                
Row 7:     REF. VIDRIO |                 |                 |                 |                 |                 |                 |                
Row 8:     DESCRICCION |                 |            REF. | MEDIDAS EN CENTIMETROS |                 |                 |            CANT |    ANGULO CORTE
Row 9:           MARCO |         CABEZAL |         ALN-392 |             300 |                 |                 |               1 |              90
Row 10:                 |          SILLAR |         ALN-387 |             300 |                 |                 |               1 |              90
Row 11:                 |           JAMBA |         ALN-393 |             199 |                 |                 |               2 |              90
Row 12:      CORREDERAS |   ENGANCHE 8025 |         ALN-391 |             198 |                 |                 |               2 |              90
Row 13:                 |   TRASLAPE 8025 |         ALN-388 |             198 |                 |                 |               2 |              90
Row 14:                 |   ADCTADOR 8025 |         ALN-403 |             198 |                 |                 |               1 |              90
Row 15:                 | HORIZONTAL SUP. |         ALN-389 |            99.4 |                 |                 |               2 |              90

--- SHEET: 8025 de 3 hojas  (triple carril (Path: xl/worksheets/sheet14.xml) ---
Row 1:  PUERTA CORREDERA 8025 DE TRES HOJAS (TRIPLE CARRIL) |                 |                 |                 |                 |                 |                 |                
Row 2:          ALTURA |                 |                 |           239.3 |     CENTIMETROS |                 |                 |                
Row 3:           ANCHO |                 |                 |           406.4 |     CENTIMETROS |                 |                 |                
Row 4:        CANTIDAD |                 |                 |               1 |                 |                 |                 |                
Row 5:    REF.ALUMINIO |                 |         ALN8025 |                 |                 |                 |                 |                
Row 6:     REF. VIDRIO |                 |             5MM |                 |                 |                 |                 |                
Row 7:     DESCRICCION |                 |            REF. | MEDIDAS EN CENTIMETROS |                 |                 |       CANT UND. |   ANGULO GRADOS
Row 8:           MARCO | CABEZAL3 RIELES |                 |           406.4 |                 |                 |               1 |              90
Row 9:                 | SILLAR 3 RIELES |                 |           406.4 |                 |                 |               1 |              90
Row 10:                 |  JAMBA 3 RIELES |                 | 238.10000000000002 |                 |                 |               2 |              90
Row 11:       HOJA FIJA |   ENGANCHE 8025 |         ALN-391 | 236.60000000000002 |                 |                 |               1 |              90
Row 12:                 |   TRASLAPE 8025 |         ALN-388 | 236.60000000000002 |                 |                 |               1 |              90
Row 13:                 | HORIZONTAL SUP. |         ALN-389 | 136.86666666666667 |                 |                 |               1 |              90
Row 14:                 | HORIZONTAL INF. |        ALNA-390 | 136.86666666666667 |                 |                 |               1 |              90
Row 15: HOJAS CORREDERAS |   ENGANCHE 8025 |         ALN-391 | 236.60000000000002 |                 |                 |               3 |              90

--- SHEET: P.B. TUBLAR DE 1X1.2 -PISA (Path: xl/worksheets/sheet15.xml) ---
Row 1:                                          VITTEMP |                 |                 |                 |                 |                 |                 |                
Row 2:  PUERTA BATIENTE 1 1/2 X 1 1/2 |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |             150 |     CENTIMETROS |                 |                 |                 |                
Row 4:           ANCHO |                 |              90 |     CENTIMETROS |                 |                 |                 |                
Row 5:        CANTIDAD |                 |               1 |                 |                 |                 |                 |                
Row 6:    REF.ALUMINIO |                 |                 |                 |                 |                 |                 |             [ ]
Row 7:     REF. VIDRIO |                 |                 |                 |                 |                 |                 |             [ ]
Row 8:     DESCRIPCION |                 |            REF. | MEDIDA  CENTIMETROS |                 |       CANT UND. |    CORTE GRADOS |                
Row 9:                 |                 |                 |                 |                 |                 |                 |                
Row 10:           MARCO | U 2X1 SUPER CORRIDA |          PU-057 |             150 |                 |               2 |              90 |                
Row 11:                 |                 |                 |              85 |                 |               1 |                 |                
Row 12:       HOJA FIJA | TUBO  1 1/2 X 1 1/2 CON ADAPTADOR |        ALN-1101 |             146 |                 |               2 |                 |                
Row 13:                 |                 |                 |              76 |                 |               1 |                 |                
Row 14:                 |                 |                 |              76 |                 |               1 |                 |                
Row 15:                 |       ADAPTADOR |        ALN-1175 |              76 |                 |               1 |                 |                

--- SHEET: P.B DE 2 HOJAS DE 1X1.2 PISA (Path: xl/worksheets/sheet16.xml) ---
Row 1:                                           VITTEMP |                 |                 |                 |                 |                 |                 |                
Row 2:  PUERTA BATIENTE 1 1/2 X 1 1/2 |                 |                 |                 |                 |                 |                 |                
Row 3:          ALTURA |                 |             200 |     CENTIMETROS |                 |                 |                 |                
Row 4:           ANCHO |                 |             200 |     CENTIMETROS |                 |                 |                 |                
Row 5:        CANTIDAD |                 |               1 |                 |                 |                 |                 |                
Row 6:    REF.ALUMINIO |                 |                 |                 |                 |                 |                 |             [ ]
Row 7:   REF. ACRILICO |                 |                 |                 |                 |                 |                 |                
Row 8:     DESCRIPCION |                 |            REF. | MEDIDA  CENTIMETROS |                 |       CANT UND. |    CORTE GRADOS |                
Row 9:                 |                 |                 |                 |                 |                 |                 |                
Row 10:           MARCO | U 2X1 SUPERCORRIDA |                 |             200 |                 |               2 |              90 |                
Row 11:                 |                 |                 |             195 |                 |               1 |                 |                
Row 12:       HOJA FIJA | TUBO  1 1/2 X 1 1/2 CON ADAPTADOR |        ALN-1101 |             196 |                 |               4 |                 |                
Row 13:                 |                 |                 |           96.75 |                 |               2 |                 |                
Row 14:                 |                 |                 |           96.75 |                 |               2 |                 |                
Row 15:                 |       ADAPTADOR |        ALN-1175 |           96.75 |                 |               2 |                 |                

--- SHEET: P.B TUBULAR 3X1-1.2 PISA (Path: xl/worksheets/sheet17.xml) ---
Row 1:                                          VITTEMP |                 |                 |                 |                 |                 |                 |             [ ]
Row 2:  PUERTA BATIENTE 3x1 1/2 PROYECTANTE |                 |                 |                 |                 |                 |                 |             [ ]
Row 3:          ALTURA |                 |             200 |     CENTIMETROS |                 |                 |                 |                
Row 4:           ANCHO |        SUPERIOR |              90 |     CENTIMETROS |                 |                 |                 |             [ ]
Row 5:    REF.ALUMINIO |                 |                 |                 |                 |                 |                 |             [ ]
Row 6:     REF. VIDRIO |                 |                 |                 |                 |                 |                 |             [ ]
Row 7:     DESCRIPCION |                 |            REF. | MEDIDA  CENTIMETROS |                 |       CANT UND. |    CORTE GRADOS |             [ ]
Row 8:                 |                 |                 |                 |                 |                 |                 |             [ ]
Row 9:           MARCO | U 2X1 SUPERCORRIDA |                 |             200 |                 |               2 |              90 |             [ ]
Row 10:                 |                 |                 |              85 |                 |               1 |                 |             [ ]
Row 11:       HOJA NAVE | 3X 1/2 CON ADAP |        ALN-1102 |           195.9 |                 |               2 |                 |             [ ]
Row 12:                 | 3X 1/2 CON ADAP |        ALN-1102 |            66.2 |                 |               3 |                 |             [ ]
Row 13:                 |      ADAPATADOR |        ALN-1175 |            66.2 |                 |               1 |                 |             [ ]
Row 14:                 | ANGULO CHAPETA 1x1¨ |                 |             3.4 |                 |               4 |              90 |             [ ]
Row 15:                 |                 |                 |             2.8 |                 |               4 |                 |             [ ]

--- SHEET: P.B TUBULAR 3X1-1.2 2 HOJAS (Path: xl/worksheets/sheet18.xml) ---
Row 1:                                          VITTEMP |                 |                 |                 |                 |                 |                 |             [ ]
Row 2:  PUERTA BATIENTE 3x1 1/2 PROYECTANTE |                 |                 |                 |                 |                 |                 |             [ ]
Row 3:          ALTURA |                 |           232.3 |     CENTIMETROS |                 |                 |                 |             [ ]
Row 4:           ANCHO |                 |           188.5 |     CENTIMETROS |                 |                 |                 |             [ ]
Row 5:    REF.ALUMINIO |                 |                 |                 |                 |                 |                 |             [ ]
Row 6:   REF. ACRILICO |                 |                 |                 |                 |                 |                 |             [ ]
Row 7:     DESCRIPCION |                 |            REF. | MEDIDA  CENTIMETROS |                 |       CANT UND. |    CORTE GRADOS |             [ ]
Row 8:                 |                 |                 |                 |                 |                 |                 |             [ ]
Row 9:           MARCO | U 2X1 SUPERCORRIDA |                 |           232.3 |                 |               2 |              90 |             [ ]
Row 10:                 |                 |                 |           183.5 |                 |               1 |                 |             [ ]
Row 11:       HOJA FIJA | 3X 1/2 CON ADAP |        ALN-1102 | 228.20000000000002 |                 |               4 |                 |             [ ]
Row 12:                 | 3X 1/2 CON ADAP |        ALN-1102 |           72.95 |                 |               6 |                 |             [ ]
Row 13:                 |      ADAPATADOR |        ALN-1175 |           72.95 |                 |               2 |                 |             [ ]
Row 14:                 | ANGULO CHAPETA 1x1¨ |                 |             3.4 |                 |               4 |              90 |             [ ]
Row 15:                 |                 |                 |             2.8 |                 |               4 |                 |             [ ]

--- SHEET: FIJO PRO-3831 (Path: xl/worksheets/sheet19.xml) ---
Row 1:                 |                 |                 |                 |                 |                 |                 |             [ ]
Row 2:  VENTANAL FIJO  PROYECTANTE |                 |                 |                 |                 |                 |                 |             [ ]
Row 3:          ALTURA |             100 |                 |     CENTIMETROS |                 |                 |                 |             [ ]
Row 4:           ANCHO |             100 |                 |     CENTIMETROS |                 |                 |                 |             [ ]
Row 5:    REF.ALUMINIO |                 |            3831 |                 |                 |                 |                 |             [ ]
Row 6:     REF. VIDRIO |                 |        4,5,6 MM |                 |                 |                 |                 |             [ ]
Row 7:     DESCRIPCION |                 |            REF. |         MEDIDAS |                 |       CANT UND. |    ANGULO CORTE |             [ ]
Row 8:                 |                 |                 |                 |                 |                 |                 |             [ ]
Row 9:           MARCO |  CABEZAL SILLAR |        ALNA-173 |             100 |                 |               2 |              90 |             [ ]
Row 10:                 |           JAMBA |         ALN-174 |            97.4 |                 |               2 |              90 |             [ ]
Row 11:                 |     PISA VIDRIO |   ALN-635 CURVO | 96.800000000000011 |                 |               2 |              45 |             [ ]
Row 12:                 |                 |                 |            96.8 |                 |               2 |              90 |             [ ]
Row 13:          VIDRIO |                 |                 |          ALTURA |           ANCHO |                 |                 |             [ ]
Row 14:                 |                 |                 |            95.8 |            95.8 |               2 |                 |             [ ]
Row 15:         EMPAQUE |        ESTRELLA |                 |                 |                 |           766.4 |              ML |             [ ]

--- SHEET: FIJO PRO 3831  1 BASCULANTE (Path: xl/worksheets/sheet20.xml) ---
Row 1:                                          VITTEMP |                 |                 |                 |                 |                 |                 |             [ ]
Row 2: FIJO PROYECTANTE CON BASCULANTE 3831 |                 |                 |                 |                 |                 |                 |             [ ]
Row 3:          ALTURA |                 |             100 |     CENTIMETROS |                 |                 |                 |             [ ]
Row 4:           ANCHO |                 |             100 |     CENTIMETROS |                 |                 |                 |             [ ]
Row 5: BANO DE BASCULANTE |                 |              40 |     CENTIMETROS |                 |                 |                 |             [ ]
